DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
"141259",141259,,MiniPAT,03:00:00 30-Dec-2015,,,,0.0,22.9,LightLoc
"141259",141259,,MiniPAT,02:00:00 01-Jan-2016,,,,0.0,23.0,LightLoc
"141259",141259,,MiniPAT,05:00:00 01-Jan-2016,,,,0.0,23.0,LightLoc
"141259",141259,,MiniPAT,04:00:00 03-Jan-2016,,,,0.0,23.3,LightLoc
"141259",141259,,MiniPAT,03:00:00 04-Jan-2016,,,,0.0,23.4,LightLoc
"141259",141259,,MiniPAT,04:00:00 05-Jan-2016,,,,0.0,23.6,LightLoc
"141259",141259,,MiniPAT,10:00:00 06-Jan-2016,,,,0.0,23.6,LightLoc
"141259",141259,,MiniPAT,04:00:00 08-Jan-2016,,,,0.0,23.5,LightLoc
"141259",141259,,MiniPAT,05:00:00 10-Jan-2016,,,,0.0,23.8,LightLoc
"141259",141259,,MiniPAT,03:00:00 11-Jan-2016,,,,0.0,22.9,LightLoc
"141259",141259,,MiniPAT,07:00:00 12-Jan-2016,,,,0.0,23.4,LightLoc
"141259",141259,,MiniPAT,11:00:00 13-Jan-2016,,,,0.0,23.0,LightLoc
"141259",141259,,MiniPAT,22:00:00 14-Jan-2016,,,,0.0,23.3,LightLoc
"141259",141259,,MiniPAT,11:00:00 15-Jan-2016,,,,0.0,23.2,LightLoc
"141259",141259,,MiniPAT,20:00:00 16-Jan-2016,,,,0.0,22.2,LightLoc
"141259",141259,,MiniPAT,06:00:00 17-Jan-2016,,,,0.0,22.6,LightLoc
"141259",141259,,MiniPAT,17:00:00 18-Jan-2016,,,,0.0,21.9,LightLoc
"141259",141259,,MiniPAT,01:00:00 19-Jan-2016,,,,0.0,21.6,LightLoc
"141259",141259,,MiniPAT,03:00:00 21-Jan-2016,,,,0.0,19.7,LightLoc
"141259",141259,,MiniPAT,04:00:00 21-Jan-2016,,,,0.0,20.9,LightLoc
"141259",141259,,MiniPAT,11:00:00 22-Jan-2016,,,,0.0,19.7,LightLoc
"141259",141259,,MiniPAT,05:00:00 23-Jan-2016,,,,0.0,20.4,LightLoc
"141259",141259,,MiniPAT,05:00:00 24-Jan-2016,,,,0.0,20.5,LightLoc
"141259",141259,,MiniPAT,12:00:00 26-Jan-2016,,,,0.0,20.3,LightLoc
"141259",141259,,MiniPAT,04:00:00 28-Jan-2016,,,,0.0,19.6,LightLoc
"141259",141259,,MiniPAT,03:00:00 30-Jan-2016,,,,0.0,19.6,LightLoc
"141259",141259,,MiniPAT,08:00:00 31-Jan-2016,,,,0.0,19.6,LightLoc
"141259",141259,,MiniPAT,00:00:00 01-Feb-2016,,,,0.0,19.2,LightLoc
"141259",141259,,MiniPAT,08:00:00 02-Feb-2016,,,,0.0,19.2,LightLoc
"141259",141259,,MiniPAT,10:00:00 03-Feb-2016,,,,0.0,19.0,LightLoc
"141259",141259,,MiniPAT,02:00:00 05-Feb-2016,,,,0.0,19.0,LightLoc
"141259",141259,,MiniPAT,03:00:00 06-Feb-2016,,,,0.0,18.8,LightLoc
"141259",141259,,MiniPAT,09:00:00 07-Feb-2016,,,,0.0,19.3,LightLoc
"141259",141259,,MiniPAT,02:00:00 08-Feb-2016,,,,0.0,18.5,LightLoc
"141259",141259,,MiniPAT,03:00:00 09-Feb-2016,,,,0.0,18.4,LightLoc
"141259",141259,,MiniPAT,10:00:00 10-Feb-2016,,,,0.0,18.3,LightLoc
"141259",141259,,MiniPAT,09:00:00 11-Feb-2016,,,,0.0,18.8,LightLoc
"141259",141259,,MiniPAT,07:00:00 12-Feb-2016,,,,0.0,18.0,LightLoc
"141259",141259,,MiniPAT,02:00:00 13-Feb-2016,,,,0.0,18.9,LightLoc
"141259",141259,,MiniPAT,11:00:00 14-Feb-2016,,,,0.0,18.4,LightLoc
"141259",141259,,MiniPAT,04:00:00 15-Feb-2016,,,,0.0,18.9,LightLoc
"141259",141259,,MiniPAT,10:00:00 16-Feb-2016,,,,0.0,18.1,LightLoc
"141259",141259,,MiniPAT,04:00:00 17-Feb-2016,,,,0.0,18.8,LightLoc
"141259",141259,,MiniPAT,09:00:00 18-Feb-2016,,,,0.0,18.8,LightLoc
"141259",141259,,MiniPAT,09:00:00 19-Feb-2016,,,,0.0,18.4,LightLoc
"141259",141259,,MiniPAT,02:00:00 20-Feb-2016,,,,0.0,18.8,LightLoc
"141259",141259,,MiniPAT,04:00:00 21-Feb-2016,,,,0.0,18.3,LightLoc
"141259",141259,,MiniPAT,04:00:00 22-Feb-2016,,,,0.0,17.8,LightLoc
"141259",141259,,MiniPAT,07:00:00 23-Feb-2016,,,,0.0,18.5,LightLoc
"141259",141259,,MiniPAT,09:00:00 25-Feb-2016,,,,0.0,18.0,LightLoc
"141259",141259,,MiniPAT,02:00:00 26-Feb-2016,,,,0.0,17.3,LightLoc
"141259",141259,,MiniPAT,06:00:00 27-Feb-2016,,,,0.0,17.9,LightLoc
"141259",141259,,MiniPAT,08:00:00 28-Feb-2016,,,,0.0,18.0,LightLoc
"141259",141259,,MiniPAT,10:00:00 29-Feb-2016,,,,0.0,18.1,LightLoc
"141259",141259,,MiniPAT,05:00:00 01-Mar-2016,,,,0.0,18.0,LightLoc
"141259",141259,,MiniPAT,09:00:00 02-Mar-2016,,,,0.0,17.8,LightLoc
"141259",141259,,MiniPAT,04:00:00 03-Mar-2016,,,,0.0,17.5,LightLoc
"141259",141259,,MiniPAT,10:00:00 04-Mar-2016,,,,0.0,17.7,LightLoc
"141259",141259,,MiniPAT,02:00:00 05-Mar-2016,,,,0.0,17.5,LightLoc
"141259",141259,,MiniPAT,06:00:00 06-Mar-2016,,,,0.0,15.8,LightLoc
"141259",141259,,MiniPAT,01:00:00 07-Mar-2016,,,,0.0,17.1,LightLoc
"141259",141259,,MiniPAT,08:00:00 08-Mar-2016,,,,0.0,16.9,LightLoc
